ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent,Error
P08,53,bar,39,40,0.16992500144231237
P08,54,donut,56,58,1.0874628412503393
P08,55,stacked,99,100,0.16992500144231237
P08,56,bar,70,72,1.0874628412503393
P08,57,donut,47,45,1.0874628412503393
P08,58,stacked,85,85,0.0
P08,59,bar,32,35,1.6438561897747246
P08,60,donut,60,62,1.0874628412503393
P09,1,stacked,63,65,1.0874628412503393
P09,2,bar,48,50,1.0874628412503393
P09,3,bar,81,70,3.4757334309663976
P09,4,donut,37,35,1.0874628412503393
P09,5,stacked,92,95,1.6438561897747246
P09,6,donut,54,55,0.16992500144231237
P09,7,donut,71,60,3.4757334309663976
P09,8,bar,25,26,0.16992500144231237
P09,9,stacked,67,70,1.6438561897747246
P09,10,donut,43,40,1.6438561897747246
P09,11,bar,86,85,0.16992500144231237
P09,12,stacked,30,28,1.0874628412503393
P09,13,donut,58,60,1.0874628412503393
P09,14,bar,76,78,1.0874628412503393
P09,15,donut,22,20,1.0874628412503393
P09,16,stacked,100,100,0.0
P09,17,bar,51,50,0.16992500144231237
P09,18,donut,69,55,3.820178962415188
P09,19,stacked,44,42,1.0874628412503393
P09,20,bar,39,40,0.16992500144231237
P09,21,donut,88,90,1.0874628412503393
P09,22,donut,62,65,1.6438561897747246
P09,23,stacked,35,35,0.0
P09,24,bar,97,95,1.0874628412503393
P09,25,donut,47,45,1.0874628412503393
P09,26,stacked,73,75,1.0874628412503393
P09,27,bar,28,30,1.0874628412503393
P09,28,donut,82,75,2.8328900141647417
P09,29,stacked,55,52,1.6438561897747246
P09,30,bar,64,50,3.820178962415188
P09,31,donut,45,48,1.6438561897747246
P09,32,stacked,89,90,0.16992500144231237
P09,33,bar,32,35,1.6438561897747246
P09,34,donut,77,65,3.599912842187128
P09,35,stacked,41,40,0.16992500144231237
P09,36,bar,59,60,0.16992500144231237
P09,37,donut,66,68,1.0874628412503393
P09,38,bar,20,20,0.0
P09,39,stacked,79,80,0.16992500144231237
P09,40,donut,51,50,0.16992500144231237
P09,41,stacked,38,40,1.0874628412503393
P09,42,bar,85,85,0.0
P09,43,donut,23,25,1.0874628412503393
P09,44,stacked,94,95,0.16992500144231237
P09,45,bar,57,58,0.16992500144231237
P09,46,donut,72,75,1.6438561897747246
P09,47,stacked,49,40,3.189824558880017
P09,48,bar,36,35,0.16992500144231237
P09,49,donut,68,70,1.0874628412503393
P09,50,stacked,84,85,0.16992500144231237
P09,51,bar,42,40,1.0874628412503393
P09,52,donut,56,58,1.0874628412503393
P09,53,stacked,61,60,0.16992500144231237
P09,54,bar,99,100,0.16992500144231237
P09,55,donut,34,35,0.16992500144231237
P09,56,stacked,75,78,1.6438561897747246
P09,57,bar,52,50,1.0874628412503393
P09,58,donut,87,90,1.6438561897747246
P09,59,stacked,29,30,0.16992500144231237
P09,60,bar,70,72,1.0874628412503393
P10,1,bar,78,80,1.0874628412503393
P10,2,donut,73,50,4.531381460516312
P10,3,bar,42,40,1.0874628412503393
P10,4,stacked,73,70,1.6438561897747246
P10,5,bar,72,80,3.0223678130284544
P10,6,donut,21,10,3.4757334309663976
P10,7,donut,41,30,3.4757334309663976
P10,8,donut,18,10,3.0223678130284544
P10,9,bar,68,60,3.0223678130284544
P10,10,donut,96,90,2.6147098441152083
P10,11,stacked,53,40,3.7142455176661224
P10,12,bar,60,60,0.0
P10,13,stacked,48,50,1.0874628412503393
P10,14,bar,47,50,1.6438561897747246
P10,15,stacked,79,70,3.189824558880017
P10,16,bar,72,70,1.0874628412503393
P10,17,donut,29,20,3.189824558880017
P10,18,stacked,87,90,1.6438561897747246
P10,19,stacked,90,100,3.3398500028846247
P10,20,stacked,48,30,4.1799090900149345
